lattes id;coordenador;ano inicio;ano fim;titulo;tipo
lattes id;coordenador;ano inicio;ano fim;titulo;tipo
lattes id;coordenador;ano inicio;ano fim;titulo;tipo
7224163454715504;Jorge Ferreira da Silva;2009;2017;METARIO - Rede de pesquisa e formação docente em metaversos: desenvolvimento de competências para a docência em administração;metaverso
5877338921329207;Luciana Backes;2014;2016;Os espaços híbridos nos processos de ensinar e de aprender: a presença e a copresença no viver e conviver;metaverso
5877338921329207;Ana Margô Mantovani;2012;2015;O desenvolvimento de novas competências dos educadores da área de gestão no contexto do hibridismo tecnológico digital.;metaverso
3402056676199307;Carlos Pernisa Júnior;2022;Atual;Ambientes narrativos imersivos sonoros;metaverso
0006708662950964;None;2023;Atual;AVATARES DIGITAIS DE MARCAS BRASILEIRAS EM METAVERSOS:  a percepção dos consumidores de moda sobre a corporeidade virtual;metaverso
0041121834612355;Amarolinda Zanela Saccol;2009;2014;METARIO Rede de Pesquisa e Formação Docente em Metaversos: Desenvolvimento de Competências para a docência em Administração;metaverso
6301625161386664;Luciana Backes;2014;2016;Os espaços híbridos nos processos de ensinar e de aprender: a presença e a copresença no viver e conviver;metaverso
6301625161386664;Luciana Backes;2012;2014;Acoplamento Estrutural no Hibridismo Tecnológico Digital: desenvolvimento e inovação nas instituições de ensino para formação de gestores educacionais e educadores;metaverso
6301625161386664;Eliane Schlemmer;2010;2013;Anatomia no metaverso Second Life: uma proposta em i-Learning;metaverso
3914159735707328;Eliane Schlemmer;2010;2012;Anatomia no metaverso Second Life: uma proposta em i-Learning;metaverso
8100404916721779;Katia Augusta Maciel;2019;Atual;Storytelling em Realidades Estendidas (XR);metaverso
9933939386282163;Luís Carlos Petry;2011;2011;O conceito de game acadêmico e a exploração de puzzles em engines tridimensionais;metaverso
7550820294257183;None;2009;2014;Projeto CAPES No. 1299/2009 - COORDENADORA - METARIO ? Rede de Pesquisa e Formação Docente em Metaversos: Desenvolvimento de Competências para  a docência em Administração;metaverso
9279970444599822;None;2020;Atual;TRANSCENDER: METAVERSO COMO RITUAL DE MEMÓRIAS, AFETOS E RESSIGNIFICAÇÃO DA PRESENÇA;metaverso
0501764855693100;Érico Marcelo Hoff do Amaral;2013;2014;Utilização de Ambientes Imersivos para Educação - AIEd;metaverso
1736294295596552;Laura Graziela Figueiredo Fernandes Gomes;2022;Atual;Os modos de emergência e existência (dos híbridos) na  internet e suas novas fronteiras;metaverso
2339773434595512;None;2013;2014;Desenvolvimento de projetos artísticos no Second Life;metaverso
5391034042353187;None;2010;2013;Anatomia no metaverso Second Life: uma proposta em i-Learning;metaverso
9716270626654261;Francisco Petrônio Alencar de Medeiros;2019;2023;Engenharia de Software Educacional;metaverso
